Group;Participant;CollabEnvironememn;trialNb;training;MoveMode;wall;CardToTag;
g03;p01;C;56;1;drag;move;L;12;
g03;p02;C;56;1;drag;search;L;12;
g03;p01;C;57;1;drag;search;L;9;
g03;p02;C;57;1;drag;move;L;9;
g03;p01;C;58;0;drag;move;B;36;
g03;p02;C;58;0;drag;search;B;36;
g03;p01;C;59;0;drag;search;B;30;
g03;p02;C;59;0;drag;move;B;30;
g03;p01;C;60;0;drag;move;R;53;
g03;p02;C;60;0;drag;search;R;53;
g03;p01;C;61;0;drag;search;R;57;
g03;p02;C;61;0;drag;move;R;57;
g03;p01;C;62;0;drag;move;L;13;
g03;p02;C;62;0;drag;search;L;13;
g03;p01;C;63;0;drag;search;L;7;
g03;p02;C;63;0;drag;move;L;7;
g03;p01;C;64;0;drag;move;B;33;
g03;p02;C;64;0;drag;search;B;33;
g03;p01;C;65;0;drag;search;B;28;
g03;p02;C;65;0;drag;move;B;28;
g03;p01;C;66;0;drag;move;R;48;
g03;p02;C;66;0;drag;search;R;48;
g03;p01;C;67;0;drag;search;R;52;
g03;p02;C;67;0;drag;move;R;52;
g03;p01;C;68;0;drag;search;R;57;
g03;p02;C;68;0;drag;move;R;57;
g03;p01;C;69;0;drag;move;R;53;
g03;p02;C;69;0;drag;search;R;53;
g03;p01;C;70;0;drag;search;B;30;
g03;p02;C;70;0;drag;move;B;30;
g03;p01;C;71;0;drag;move;B;36;
g03;p02;C;71;0;drag;search;B;36;
g03;p01;C;72;0;drag;search;L;9;
g03;p02;C;72;0;drag;move;L;9;
g03;p01;C;73;0;drag;move;L;12;
g03;p02;C;73;0;drag;search;L;12;
g03;p01;C;74;0;drag;search;R;50;
g03;p02;C;74;0;drag;move;R;50;
g03;p01;C;75;0;drag;move;R;45;
g03;p02;C;75;0;drag;search;R;45;
g03;p01;C;76;0;drag;search;B;38;
g03;p02;C;76;0;drag;move;B;38;
g03;p01;C;77;0;drag;move;B;23;
g03;p02;C;77;0;drag;search;B;23;
#pause;
g04;p01;C;0;1;drag;move;B;22;
g04;p02;C;0;1;drag;search;B;22;
g04;p01;C;1;1;drag;search;B;37;
g04;p02;C;1;1;drag;move;B;37;
g04;p01;C;2;1;drag;move;L;11;
g04;p02;C;2;1;drag;search;L;11;
g04;p01;C;3;1;drag;search;L;8;
g04;p02;C;3;1;drag;move;L;8;
g04;p01;C;4;1;drag;move;R;47;
g04;p02;C;4;1;drag;search;R;47;
g04;p01;C;5;1;drag;search;R;51;
g04;p02;C;5;1;drag;move;R;51;
g04;p01;C;6;0;drag;move;B;34;
g04;p02;C;6;0;drag;search;B;34;
g04;p01;C;7;0;drag;search;B;29;
g04;p02;C;7;0;drag;move;B;29;
g04;p01;C;8;0;drag;move;R;59;
g04;p02;C;8;0;drag;search;R;59;
g04;p01;C;9;0;drag;search;R;43;
g04;p02;C;9;0;drag;move;R;43;
g04;p01;C;10;0;drag;move;L;6;
g04;p02;C;10;0;drag;search;L;6;
g04;p01;C;11;0;drag;search;L;10;
g04;p02;C;11;0;drag;move;L;10;
g04;p01;C;12;0;drag;move;B;31;
g04;p02;C;12;0;drag;search;B;31;
g04;p01;C;13;0;drag;search;B;25;
g04;p02;C;13;0;drag;move;B;25;
g04;p01;C;14;0;drag;move;L;14;
g04;p02;C;14;0;drag;search;L;14;
g04;p01;C;15;0;drag;search;L;19;
g04;p02;C;15;0;drag;move;L;19;
g04;p01;C;16;0;drag;search;R;43;
g04;p02;C;16;0;drag;move;R;43;
g04;p01;C;17;0;drag;move;R;59;
g04;p02;C;17;0;drag;search;R;59;
g04;p01;C;18;0;drag;search;B;29;
g04;p02;C;18;0;drag;move;B;29;
g04;p01;C;19;0;drag;move;B;34;
g04;p02;C;19;0;drag;search;B;34;
g04;p01;C;20;0;drag;search;R;51;
g04;p02;C;20;0;drag;move;R;51;
g04;p01;C;21;0;drag;move;R;47;
g04;p02;C;21;0;drag;search;R;47;
g04;p01;C;22;0;drag;search;L;8;
g04;p02;C;22;0;drag;move;L;8;
g04;p01;C;23;0;drag;move;L;11;
g04;p02;C;23;0;drag;search;L;11;
g04;p01;C;24;0;drag;search;B;37;
g04;p02;C;24;0;drag;move;B;37;
g04;p01;C;25;0;drag;move;B;22;
g04;p02;C;25;0;drag;search;B;22;
#pause;
g04;p01;C;26;1;joy;move;R;40;
g04;p02;C;26;1;joy;search;R;40;
g04;p01;C;27;1;joy;search;R;56;
g04;p02;C;27;1;joy;move;R;56;
g04;p01;C;28;1;joy;move;B;24;
g04;p02;C;28;1;joy;search;B;24;
g04;p01;C;29;1;joy;search;B;39;
g04;p02;C;29;1;joy;move;B;39;
g04;p01;C;30;1;joy;move;L;2;
g04;p02;C;30;1;joy;search;L;2;
g04;p01;C;31;1;joy;search;L;17;
g04;p02;C;31;1;joy;move;L;17;
g04;p01;C;32;0;joy;move;R;54;
g04;p02;C;32;0;joy;search;R;54;
g04;p01;C;33;0;joy;search;R;49;
g04;p02;C;33;0;joy;move;R;49;
g04;p01;C;34;0;joy;move;B;26;
g04;p02;C;34;0;joy;search;B;26;
g04;p01;C;35;0;joy;search;B;32;
g04;p02;C;35;0;joy;move;B;32;
g04;p01;C;36;0;joy;move;L;4;
g04;p02;C;36;0;joy;search;L;4;
g04;p01;C;37;0;joy;search;L;0;
g04;p02;C;37;0;joy;move;L;0;
g04;p01;C;38;0;joy;move;R;58;
g04;p02;C;38;0;joy;search;R;58;
g04;p01;C;39;0;joy;search;R;42;
g04;p02;C;39;0;joy;move;R;42;
g04;p01;C;40;0;joy;move;L;15;
g04;p02;C;40;0;joy;search;L;15;
g04;p01;C;41;0;joy;search;L;1;
g04;p02;C;41;0;joy;move;L;1;
g04;p01;C;42;0;joy;search;B;32;
g04;p02;C;42;0;joy;move;B;32;
g04;p01;C;43;0;joy;move;B;26;
g04;p02;C;43;0;joy;search;B;26;
g04;p01;C;44;0;joy;search;R;49;
g04;p02;C;44;0;joy;move;R;49;
g04;p01;C;45;0;joy;move;R;54;
g04;p02;C;45;0;joy;search;R;54;
g04;p01;C;46;0;joy;search;L;17;
g04;p02;C;46;0;joy;move;L;17;
g04;p01;C;47;0;joy;move;L;2;
g04;p02;C;47;0;joy;search;L;2;
g04;p01;C;48;0;joy;search;B;39;
g04;p02;C;48;0;joy;move;B;39;
g04;p01;C;49;0;joy;move;B;24;
g04;p02;C;49;0;joy;search;B;24;
g04;p01;C;50;0;joy;search;R;56;
g04;p02;C;50;0;joy;move;R;56;
g04;p01;C;51;0;joy;move;R;40;
g04;p02;C;51;0;joy;search;R;40;
#pause;
g04;p01;C;52;1;TP;move;B;23;
g04;p02;C;52;1;TP;search;B;23;
g04;p01;C;53;1;TP;search;B;38;
g04;p02;C;53;1;TP;move;B;38;
g04;p01;C;54;1;TP;move;R;45;
g04;p02;C;54;1;TP;search;R;45;
g04;p01;C;55;1;TP;search;R;50;
g04;p02;C;55;1;TP;move;R;50;
g04;p01;C;56;1;TP;move;L;12;
g04;p02;C;56;1;TP;search;L;12;
